papel,segmento,cotacao,ffo_yield,dividend_yield,p_vp,valor_mercado,liquidez,qtd_imovel,preco_m2,aluguel_m2,cap_rate,vacancia_media
VIFI11,Títulos e Val. Mob.,8.16,9.58,9.45,0.89,66007800.0,284513.0,0,0.0,0.0,0.0,0.0
VILG11,Logística,96.05,7.71,7.97,0.86,1440500000.0,2939340.0,15,2510.5,242.91,9.68,10.98
VINO11,Lajes Corporativas,7.55,10.0,9.22,0.7,625338000.0,1033880.0,10,9750.4,1177.61,12.08,0.0
VISC11,Shoppings,120.72,6.27,8.36,1.05,2564540000.0,5483640.0,20,3820.55,319.62,8.37,5.98
VIUR11,Outros,7.94,11.17,10.26,0.88,213953000.0,317720.0,8,3172.91,323.46,10.19,3.02
VLOL11,Lajes Corporativas,98.0,6.78,20.49,0.88,174913000.0,0.0,0,0.0,0.0,0.0,0.0
VOTS11,Títulos e Val. Mob.,81.98,17.77,13.01,0.87,67872300.0,7684.0,0,0.0,0.0,0.0,0.0
VRTA11,Títulos e Val. Mob.,87.35,11.41,10.74,0.94,1362000000.0,2019740.0,0,0.0,0.0,0.0,0.0
VRTM11,Títulos e Val. Mob.,10.8,0.0,1.1,1.13,128475000.0,1694.0,0,0.0,0.0,0.0,0.0
VSEC11,Títulos e Val. Mob.,0.21,700.84,12.04,0.07,13174.0,0.0,0,0.0,0.0,0.0,0.0
VSHO11,Shoppings,84.47,10.01,9.49,0.83,177286000.0,90990.0,3,2334.63,407.96,17.47,7.84
VSLH11,Outros,4.26,11.68,11.67,0.4,127221000.0,282470.0,0,0.0,0.0,0.0,0.0
VTLT11,Logística,95.2,11.19,10.46,0.94,201348000.0,101201.0,1,781.7,99.86,12.77,0.0
VVCR11,Títulos e Val. Mob.,20.8,11.55,7.95,0.93,38476400.0,66019.0,0,0.0,0.0,0.0,0.0
VVPR11,Híbrido,101.5,8.99,0.0,1.04,234036000.0,0.0,6,5334.39,526.7,9.87,0.0
VVRI11,Híbrido,97.01,10.23,10.66,1.02,38804000.0,133461.0,1,4759.91,269.84,5.67,0.0
VXXV11,Outros,1020.0,-0.66,0.0,0.9,272795000.0,817120.0,0,0.0,0.0,0.0,0.0
WHGR11,Híbrido,9.76,10.91,11.66,0.98,244874000.0,743389.0,0,0.0,0.0,0.0,0.0
WPLZ11,Shoppings,66.81,7.98,7.35,0.77,71122500.0,4166.0,1,56.59,163.78,289.4,13.03
WSEC11,Títulos e Val. Mob.,83.99,13.05,15.15,0.83,20632200.0,12145.0,0,0.0,0.0,0.0,0.0
WTSP11,Híbrido,36.3,-12.07,8.33,0.5,36030100.0,9416.0,1,2941.76,230.96,7.85,5.22
XPCA11,Títulos e Val. Mob.,9.33,10.9,14.49,0.98,424730000.0,2066700.0,0,0.0,0.0,0.0,0.0
XPCI11,Títulos e Val. Mob.,87.72,11.49,12.72,0.94,763300000.0,2048000.0,0,0.0,0.0,0.0,0.0
XPCM11,Lajes Corporativas,10.12,18.08,9.09,0.25,24435400.0,39503.0,1,1177.44,0.0,0.0,85.0
XPHT11,Hotel,123.0,3.53,6.73,2.86,1133880000.0,0.0,12,3159.69,141.26,4.47,0.0
XPIN11,Outros,79.77,8.96,9.26,0.78,570389000.0,1020070.0,99,2161.3,206.38,9.55,12.53
XPLG11,Logística,109.92,7.44,7.28,1.0,3255090000.0,7375870.0,19,2511.49,201.23,8.01,4.11
XPML11,Shoppings,114.89,5.48,8.25,1.03,3541160000.0,12598700.0,12,6481.46,421.2,6.5,0.0
XPPR11,Outros,22.17,8.33,6.1,0.32,162200000.0,410277.0,5,2369.37,420.04,17.73,43.71
XPSF11,Títulos e Val. Mob.,8.37,10.74,10.22,0.99,362439000.0,641518.0,0,0.0,0.0,0.0,0.0
XTED11,Lajes Corporativas,8.82,3.54,0.0,0.65,87318000.0,0.0,1,8733.32,0.0,0.0,0.0
YCHY11,Híbrido,1000.0,1.12,0.0,9.84,3708170000.0,0.0,11,11868.8,112.0,0.94,0.0
YUFI11,Residencial,87.99,2.3,2.84,0.86,43348300.0,13.0,28,9505.78,972.79,10.23,0.0
ZAVI11,Híbrido,129.16,8.47,9.88,0.96,151546000.0,370656.0,9,1996.63,176.34,8.83,0.73
ZIFI11,Híbrido,849.0,-2.42,0.0,0.71,40314800.0,16918.0,0,0.0,0.0,0.0,0.0
